num,yyyy,mm,dd,hh,min,QOBS_0001,QOSI_0001,QSIM_0001,QOBS_0002,QOSI_0002,QSIM_0002
339,2009,9,15,2,0,19.9,27.05,27.05,23.9,22.45,28.89
340,2009,9,15,3,0,18,26.71,26.71,23.2,21.4,28.86
341,2009,9,15,4,0,18.4,26.28,26.28,22.4,20.65,28.6
342,2009,9,15,5,0,18.4,25.81,25.81,21.3,20.48,28.21
343,2009,9,15,6,0,17.9,25.32,25.32,21.2,20.23,27.77
344,2009,9,15,7,0,22.1,24.86,24.86,21.1,21.55,27.3
345,2009,9,15,8,0,20.7,24.47,24.47,21.4,22.62,26.86
346,2009,9,15,9,0,19.8,24.16,24.16,24.2,22.32,26.47
347,2009,9,15,10,0,21.9,23.94,23.94,22.9,22.74,26.17
348,2009,9,15,11,0,25,23.81,23.81,22,24.58,25.95
349,2009,9,15,12,0,25.2,23.77,23.77,24.4,26.16,25.82
350,2009,9,15,13,0,24.8,23.79,23.79,26.1,26.64,25.76
351,2009,9,15,14,0,24,23.86,23.86,26.1,26.41,25.77
352,2009,9,15,15,0,24.8,23.93,23.93,26,26.41,25.82
353,2009,9,15,16,0,24.6,23.96,23.96,25.5,26.55,25.86
354,2009,9,15,17,0,24.5,23.89,23.89,25.5,26.51,25.86
355,2009,9,15,18,0,25,23.72,23.72,25.7,26.65,25.78
356,2009,9,15,19,0,24.2,23.47,23.47,25.6,26.53,25.61
357,2009,9,15,20,0,24.5,23.16,23.16,25.4,26.39,25.36
358,2009,9,15,21,0,23.9,22.81,22.81,25.3,26.19,25.05
359,2009,9,15,22,0,21.2,22.44,22.44,25.1,24.96,24.71
360,2009,9,15,23,0,20.6,22.06,22.06,24.5,23.57,24.34
361,2009,9,16,0,0,19.1,21.68,21.68,22.9,22.34,23.96
362,2009,9,16,1,0,18.9,21.33,21.33,22,21.42,23.59
363,2009,9,16,2,0,18.8,21.01,21.01,21.4,20.98,23.23
364,2009,9,16,3,0,16.6,20.7,20.7,20.9,19.98,22.9
365,2009,9,16,4,0,15,20.43,20.43,20.6,18.44,22.6
366,2009,9,16,5,0,15,20.17,20.17,18.9,17.45,22.31
367,2009,9,16,6,0,15.1,19.92,19.92,17.6,17.11,22.04
368,2009,9,16,7,0,16.6,19.69,19.69,17.5,17.57,21.79
369,2009,9,16,8,0,18.3,19.5,19.5,17.6,18.75,21.56
370,2009,9,16,9,0,21,19.36,19.36,18.7,20.62,21.37
371,2009,9,16,10,0,20.9,19.26,19.26,19.9,21.99,21.22
372,2009,9,16,11,0,21.1,19.2,19.2,21.8,22.53,21.12
373,2009,9,16,12,0,22.7,19.16,19.16,22,23.37,21.05
